%participacion,votantes
44.14,22863
43.00,2179147
39.09,83105
51.81,1041804
44.84,2676288
47.22,798085
48.35,481553
46.99,380843
36.83,114144
49.16,149304
36.51,372132
46.94,407654
43.04,143351
14.15,128645
59.40,784048
46.88,970569
41.37,13195
46.80,30285
43.61,383814
45.77,294730
52.41,535908
46.97,366832
44.46,524627
46.13,598310
35.00,84619
43.90,214159
44.38,370000
43.34,22.271
47.91,849439
62.64,457976
44.29,494591
41.54,1524491
48.74,11398
38.82,20661


